Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
79387,Home Buying for Dummies,Eric Tyson,"Tyson, Eric",Ray Brown,"=""0471768472""","=""9780471768470""",4,3.75,For Dummies,Paperback,387,2006,1994,2014/07/09,2014/07/08,"about-topic-learning, genre-nonfiction","about-topic-learning (#3), genre-nonfiction (#316)",read,A quick read covering the things you likely need to know when buying a home.,,,1,,,0,,,,,
35677535,"Rage (Stormheart, #2)",Cora Carmack,"Carmack, Cora",,"=""""","=""""",0,4.03,Tor Teen,Hardcover,460,2019,2019,2022/02/04,2022/02/04,,,read,,,,1,,,0,,,,,
58121473,"Mentored in Fire (Demon Days, Vampire Nights, #10)",K.F. Breene,"Breene, K.F.",,"=""""","=""""",0,4.74,,Kindle Edition,346,2021,2021,2022/02/04,2022/01/30,,,read,,,,1,,,0,,,,,
58605032,"Battle With Fire (Demon Days, Vampire Nights, #11)",K.F. Breene,"Breene, K.F.",,"=""""","=""""",0,4.76,"Hazy Dawn Press, Inc.",Kindle Edition,287,2021,2021,,2022/02/03,,,read,,,,1,,,0,,,,,
29939048,"Roar (Stormheart, #1)",Cora Carmack,"Carmack, Cora",,"=""0765386313""","=""9780765386311""",0,3.96,Tor Teen,Hardcover,380,2017,2017,,2022/02/03,,,read,,,,1,,,0,,,,,
55935315,"Revealed in Fire (Demon Days, Vampire Nights, #9)",K.F. Breene,"Breene, K.F.",,"=""""","=""""",0,4.70,,Kindle Edition,203,2021,2021,,2022/01/30,,,read,,,,1,,,0,,,,,
34341759,"Born in Fire (Fire and Ice Trilogy, #1; Demon Days, Vampire Nights, #1)",K.F. Breene,"Breene, K.F.",,"=""""","=""""",0,4.16,,Kindle Edition,437,2017,2017,,2021/12/02,rated-r,rated-r (#8),read,,,,1,,,0,,,,,
45281803,"Cruel Magic (Royals of Villain Academy, #1)",Eva Chase,"Chase, Eva",,"=""""","=""""",0,3.91,Ink Spark Press,Kindle Edition,302,2019,2019,2022/01/23,2022/01/20,rated-x,rated-x (#2),read,,,,1,,,0,,,,,
49297943,"Dark King (Court of the Sea Fae, #1)",C.N. Crawford,"Crawford, C.N.",,"=""""","=""""",0,3.75,,Kindle Edition,288,2019,2019,,2021/12/02,rated-x,rated-x (#1),read,,,,1,,,0,,,,,
45163041,"Kingdom of Ice and Bone (Frozen Sun Saga, #2)",Jill Criswell,"Criswell, Jill",,"=""""","=""9781982556280""",0,3.92,Blackstone,Hardcover,300,2020,2020,,2022/01/23,,,read,,,,1,,,0,,,,,
42118210,"Beasts of the Frozen Sun (Frozen Sun Saga, #1)",Jill Criswell,"Criswell, Jill",,"=""1982556277""","=""9781982556273""",0,3.80,Blackstone,Hardcover,368,2019,2019,,2022/01/23,,,read,,,,1,,,0,,,,,
27212885,Mad Magic (Mad Magic Saga #1),Nicole Conway,"Conway, Nicole",,"=""1945107863""","=""9781945107863""",0,3.87,Month9Books,Paperback,300,2017,2017,,2022/01/23,rated-r,rated-r (#7),read,,,,1,,,0,,,,,
43611522,"Awakening (Return of the Elves, #6)",Bethany Adams,"Adams, Bethany",,"=""""","=""""",0,4.40,AW Books,Kindle Edition,367,2019,,,2022/01/23,rated-r,rated-r (#6),read,,,,1,,,0,,,,,
38908430,"Abyss (Return of the Elves, #5)",Bethany Adams,"Adams, Bethany",,"=""""","=""""",0,4.41,AW Books,Kindle Edition,224,2018,2018,,2022/01/23,rated-r,rated-r (#5),read,,,,1,,,0,,,,,
36284452,"Seared (Return of the Elves, #4)",Bethany Adams,"Adams, Bethany",,"=""""","=""""",0,4.33,AW Books,Kindle Edition,404,2017,2017,,2022/01/23,rated-r,rated-r (#4),read,,,,1,,,0,,,,,
34608928,"Exiled (Return of the Elves, #3)",Bethany Adams,"Adams, Bethany",,"=""""","=""""",0,4.05,AW Books,Kindle Edition,137,2017,2017,,2022/01/23,rated-r,rated-r (#3),read,,,,1,,,0,,,,,
32311871,"Sundered (Return of the Elves, #2)",Bethany Adams,"Adams, Bethany",Gabrielle de Cuir,"=""""","=""""",0,4.16,AW Books,Kindle Edition,433,2016,2016,,2022/01/23,rated-r,rated-r (#2),read,,,,1,,,0,,,,,
30082999,"Soulbound (Return of the Elves, #1)",Bethany Adams,"Adams, Bethany",,"=""""","=""""",0,3.87,,Kindle Edition,255,2016,2016,,2022/01/23,rated-r,rated-r (#1),read,,,,1,,,0,,,,,
5585788,"Skinwalker (Jane Yellowrock, #1)",Faith Hunter,"Hunter, Faith",,"=""0451462807""","=""9780451462800""",0,3.92,Ace Books,Mass Market Paperback,320,2009,2009,,2022/01/23,rated-pg,rated-pg (#7),read,,,,1,,,0,,,,,
48162,"Skinwalkers (Leaphorn & Chee, #7)",Tony Hillerman,"Hillerman, Tony",,"=""0061000175""","=""9780061000171""",0,4.05,HarperPaperbacks,Mass Market Paperback,282,1990,1986,,2022/01/23,,,read,,,,1,,,0,,,,,
43289065,"Ruined by Blood (The Vampires' Fae, #3)",Sadie Moss,"Moss, Sadie",,"=""""","=""""",0,4.24,,Kindle Edition,225,2019,,,2022/01/23,,,read,,,,1,,,0,,,,,
43022864,"Seduced by Blood (The Vampires' Fae, #2)",Sadie Moss,"Moss, Sadie",,"=""""","=""""",0,4.20,,Kindle Edition,222,2018,,,2022/01/23,,,read,,,,1,,,0,,,,,
42979132,"Saved by Blood (The Vampires' Fae, #1)",Sadie Moss,"Moss, Sadie",,"=""""","=""""",0,4.02,,Kindle Edition,238,2018,2018,,2022/01/23,,,read,,,,1,,,0,,,,,
12104686,"Firelight (Darkest London, #1)",Kristen Callihan,"Callihan, Kristen",,"=""1455508594""","=""9781455508594""",0,3.77,Forever,Mass Market Paperback,372,2012,2012,,2022/01/23,,,read,,,,1,,,0,,,,,
25681231,"Ella, The Slayer (Serenity House, #1)",A.W. Exley,"Exley, A.W.",,"=""""","=""""",0,3.74,Ribbonwood Press ,Kindle Edition,228,2015,2015,,2022/01/23,,,read,,,,1,,,0,,,,,
50391617,"Academy of the Forgotten (Cursed Studies, #1)",Eva Chase,"Chase, Eva",,"=""""","=""""",0,3.70,Ink Spark Press,Kindle Edition,276,2020,2020,2022/01/23,2022/01/23,,,read,,,,1,,,0,,,,,
49451847,"Vicious Arts (Royals of Villain Academy, #8)",Eva Chase,"Chase, Eva",,"=""""","=""""",0,4.32,Ink Spark Press,Kindle Edition,268,2020,2020,2022/01/23,2022/01/23,,,read,,,,1,,,0,,,,,
48905326,"Grim Witchery (Royals of Villain Academy, #7)",Eva Chase,"Chase, Eva",,"=""""","=""""",0,4.29,Ink Spark Press,Kindle Edition,328,2019,2019,2022/01/23,2022/01/23,,,read,,,,1,,,0,,,,,
48550944,"Foul Conjuring (Royals of Villain Academy, #6)",Eva Chase,"Chase, Eva",,"=""""","=""""",0,4.24,Ink Spark Press,Kindle Edition,296,2019,2019,,2022/01/23,,,read,,,,1,,,0,,,,,
52748606,"Corrupt Alchemy (Royals of Villain Academy, #5)",Eva Chase,"Chase, Eva",,"=""""","=""""",0,4.22,,Kindle Edition,286,2019,2019,,2022/01/23,,,read,,,,1,,,0,,,,,
